PID,PCS,CTS,COLID,DESCRIPTION,INTENSITY,OVERTONE,OVERTONE1,COLOR,CLARITY,SHAPE,FLU INT,FLU COLOR,FLU,POLISH,SYMMETRY,L,W,D,TD,LAB,REPORT NO,
BH-10         ,1,3.01,,W-X,,,,W-X,SI1,CUSHION,NONE,,N,G,G,8.26,7.56,5.54,73.28%,GIA,2166772775,
BH-08         ,1,2.02,C252,Y-Z,,,,Y-Z,VVS2,CUSHION,NONE,,N,G,VG,7.21,6.8,4.6,67.65%,GIA,2166790290,
BH-07         ,1,2.01,C252,Y-Z,,,,Y-Z,SI1,CUSHION,NONE,,N,G,G,7.44,6.63,4.48,67.57%,GIA,5166790428,
BH-04         ,1,1.40,,FANCY INTENSE YELLOW,FANCY INTENSE,,,YELLOW,VS2,RADIANT,NONE,,N,VG,G,7.11,5.21,3.92,75.24%,GIA,5166818170,
BG-92         ,1,1.19,,FANCY GRAYISH YELLOWISH GREEN,FANCY,GRAYISH,YELLOWISH,GREEN,VS2,CUSHION,NONE,,N,G,VG,5.91,5.71,3.91,68.48%,GIA,2155885124,
BG-91         ,1,1.02,,FANCY GREEN-YELLOW,FANCY,,,GREEN-YELLOW,VS2,PEAR,STRONG,BLUE,SB,VG,VG,7.57,5.38,3.39,63.01%,GIA,2155898611,
BG-90         ,1,1.01,,FANCY LIGHT YELLOW-GREEN,FANCY LIGHT,,,YELLOW-GREEN,VS1,CUSHION,STRONG,BLUE,SB,VG,G,5.66,5.59,3.69,66.01%,GIA,5151885841,
BG-84         ,1,3.00,,FANCY YELLOW,FANCY,,,YELLOW,SI1,PEAR,STRONG,BLUE,SB,VG,G,11.4,7.63,4.67,61.21%,GIA,1169752037,
BG-83         ,1,2.01,,FANCY YELLOW,FANCY,,,YELLOW,SI1,PEAR,NONE,,N,G,G,9.8,6.75,4.22,62.52%,GIA,1169753404,
BG-81         ,1,1.03,,FANCY YELLOW,FANCY,,,YELLOW,VS2,PEAR,STRONG,BLUE,SB,G,G,7.08,5.31,3.61,67.98%,GIA,2156420129,
BG-73         ,1,1.51,C245,FANCY BROWNISH YELLOW,FANCY,BROWNISH,,YELLOW,SI1,CUSHION,FAINT,,F,VG,G,6.47,6.24,4.28,68.59%,GIA,1159057247,
BG-72         ,1,1.51,C245,FANCY BROWNISH GREENISH YELLOW,FANCY,BROWNISH,GREENISH,YELLOW,SI1,CUSHION,NONE,,N,VG,VG,6.42,6.29,4.21,66.93%,GIA,2131338438,
BG-71         ,1,1.51,C245,FANCY BROWNISH GREENISH YELLOW,FANCY,BROWNISH,GREENISH,YELLOW,SI2,RADIANT,STRONG,YELLOW,SY,VG,F,7.75,5.14,3.83,74.51%,GIA,2135992343,
BG-70         ,1,1.50,C245,FANCY BROWNISH YELLOW,FANCY,BROWNISH,,YELLOW,VS2,CUSHION,STRONG,BLUE,SB,EX,G,6.44,6.02,4.3,71.43%,GIA,5141636466,
BG-69         ,1,1.50,C245,FANCY BROWNISH GREENISH YELLOW,FANCY,BROWNISH,GREENISH,YELLOW,VS1,CUSHION,NONE,,N,EX,VG,6.53,6.18,4.25,68.77%,GIA,2146900886,
BG-68         ,1,1.28,C245,FANCY BROWNISH GREENISH YELLOW,FANCY,BROWNISH,GREENISH,YELLOW,SI2,CUSHION,FAINT,,F,EX,VG,6.22,6.18,3.84,62.14%,GIA,2166676560,
BG-67         ,1,1.21,C245,FANCY BROWNISH GREENISH YELLOW,FANCY,BROWNISH,GREENISH,YELLOW,VVS2,CUSHION,FAINT,,F,VG,G,5.91,5.78,4.07,70.42%,GIA,2156897736,
BG-66         ,1,1.15,C245,FANCY BROWNISH GREENISH YELLOW,FANCY,BROWNISH,GREENISH,YELLOW,SI1,CUSHION,NONE,,N,VG,G,6.35,5.89,3.82,64.86%,GIA,2125240072,
BG-61         ,1,1.78,C245,FANCY BROWNISH GREENISH YELLOW,FANCY,BROWNISH,GREENISH,YELLOW,VS2,CUSHION,NONE,,N,VG,G,7.73,6.95,4.48,64.46%,GIA,2125240026,
BG-60         ,1,1.75,C245,FANCY BROWNISH GREENISH YELLOW,FANCY,BROWNISH,GREENISH,YELLOW,SI1,CUSHION,STRONG,WHITE,SW,EX,VG,6.63,6.46,4.51,69.81%,GIA,5146759076,
BG-59         ,1,1.73,C245,FANCY DEEP BROWNISH YELLOW,FANCY DEEP,BROWNISH,,YELLOW,SI1,RADIANT,NONE,,N,VG,G,8.23,6.19,3.85,62.20%,GIA,2125721700,
BG-56         ,1,2.21,,VERY LIGHT GREEN,VERY LIGHT,,,GREEN,VS2,ROUND,NONE,,N,EX,EX,8.42,8.39,5.15,61.38%,GIA,5176083364,
BG-52         ,1,2.11,,FANCY DEEP BROWNISH GREENISH YELLOW,FANCY DEEP,BROWNISH,GREENISH,YELLOW,SI2,PEAR,STRONG,YELLOW,SY,G,G,10.38,7.48,4.43,59.22%,GIA,2166752758,
BG-51         ,1,1.18,,VERY LIGHT PINK,VERY LIGHT,,,PINK,I1,MARQUISE,NONE,,N,VG,VG,9.58,5.33,3.42,64.17%,GIA,1169752796,
BG-42         ,1,2.01,C253,Y-Z,,,,Y-Z,VS2,HEART,NONE,,N,EX,G,6.9,7.76,4.9,63.14%,GIA,5166730514,
BG-27         ,1,1.22,C281,FANCY INTENSE YELLOW-ORANGE,FANCY INTENSE,,,YELLOW-ORANGE,SI2,OVAL,STRONG,YELLOW,SY,VG,VG,7.55,5.5,3.76,68.36%,GIA,2166676584,
BG-11         ,1,1.02,C272,FANCY LIGHT BROWN-PINK,FANCY LIGHT,,,BROWN-PINK,I1,ROUND,NONE,,N,VG,EX,6.41,6.36,4,62.89%,GIA,5146802348,
BG-09         ,1,1.54,,FANCY DEEP BROWNISH ORANGY YELLOW,FANCY DEEP,BROWNISH,ORANGY,YELLOW,SI2,MARQUISE,STRONG,YELLOW,SY,G,G,10.61,5.67,3.88,68.43%,GIA,2135528488,
BG-08         ,1,1.10,C226,FANCY DEEP GRAYISH GREENISH YELLOW,FANCY DEEP,GRAYISH,GREENISH,YELLOW,I2,RADIANT,NONE,,N,VG,VG,6.86,5.18,3.36,64.86%,GIA,2145573008,
BG-07         ,1,1.08,C226,FANCY DEEP BROWNISH YELLOW,FANCY DEEP,BROWNISH,,YELLOW,SI2,RADIANT,NONE,,N,VG,G,6.66,5.16,3.64,70.54%,GIA,5166310368,
BF-94         ,1,0.44,C174,FAINT PINKISH BROWN,FAINT,PINKISH,,BROWN,VS1,RADIANT,FAINT,,F,EX,VG,4.33,4.32,2.74,63.43%,GIA,2166971268,
BF-89         ,1,1.10,C281,FANCY VIVID ORANGY YELLOW,FANCY VIVID,ORANGY,,YELLOW,SI2,HEART,NONE,,N,EX,G,6.05,6.76,3.97,58.73%,GIA,1149900699,
BF-84         ,1,0.70,C174,VERY LIGHT PINK,VERY LIGHT,,,PINK,SI2,RADIANT,MEDIUM,BLUE,MB,EX,VG,5.05,5.04,3.22,63.89%,GIA,1169971280,
BF-82         ,1,1.74,,VERY LIGHT PINK,VERY LIGHT,,,PINK,VS2,RADIANT,NONE,,N,VG,EX,6.97,6.96,4.23,60.78%,GIA,2166969194,
BF-79         ,1,0.89,C71,VERY LIGHT GREEN,VERY LIGHT,,,GREEN,VS2,ROUND,STRONG,BLUE,SB,VG,G,6.16,6.12,3.79,61.93%,GIA,1142269114,
BF-78         ,1,0.40,C71,FAINT PINK,FAINT,,,PINK,SI1,ROUND,NONE,,N,VG,VG,4.7,4.66,2.85,61.16%,GIA,2156166728,
BF-77         ,1,0.83,C71,FANCY DEEP BROWNISH YELLOW,FANCY DEEP,BROWNISH,,YELLOW,,ROUND,,,,,,6.04,6.01,3.58,59.57%,GIA,5141515804,
BF-76         ,1,0.79,C71,FANCY BROWN-PINK,FANCY,,,BROWN-PINK,,ROUND,,,,,,6.09,6.06,3.54,58.42%,GIA,2115825380,
BF-75         ,1,0.72,C71,FANCY BROWNISH YELLOWISH ORANGE,FANCY,BROWNISH,YELLOWISH,ORANGE,,ROUND,,,,,,5.63,5.59,3.62,64.76%,GIA,5111571356,
BF-74         ,1,0.65,C71,FANCY LIGHT PINKISH BROWN,FANCY LIGHT,PINKISH,,BROWN,,ROUND,,,,,,5.62,5.57,3.37,60.50%,GIA,1122715434,
BF-73         ,1,0.65,C71,FANCY DEEP YELLOWISH ORANGE,FANCY DEEP,YELLOWISH,,ORANGE,,ROUND,,,,,,5.47,5.43,3.51,64.64%,GIA,5111846154,
BF-72         ,1,0.60,C71,FANCY YELLOW-GREEN,FANCY,,,YELLOW-GREEN,,ROUND,,,,,,5.39,5.37,3.31,61.64%,GIA,2125715530,
BF-71         ,1,0.60,C71,FANCY DEEP YELLOW-ORANGE,FANCY DEEP,,,YELLOW-ORANGE,VS1,ROUND,NONE,,N,G,VG,5.35,5.28,3.36,63.64%,GIA,5146974885,
BF-70         ,1,0.58,C71,FANCY DEEP BROWNISH ORANGY YELLOW,FANCY DEEP,BROWNISH,ORANGY,YELLOW,SI2,ROUND,MEDIUM,YELLOW,MY,VG,G,5.48,5.43,3.17,58.38%,GIA,1112571378,
BF-69         ,1,0.55,C71,FANCY LIGHT YELLOW,FANCY LIGHT,,,YELLOW,VS2,ROUND,NONE,,N,VG,VG,5.19,5.16,3.29,63.76%,GIA,2136560068,
BF-68         ,1,0.52,C71,FANCY DEEP YELLOW,FANCY DEEP,,,YELLOW,,ROUND,,,,,,4.88,4.84,3.33,68.80%,GIA,5121714956,
BF-67         ,1,0.52,C71,FANCY DEEP GRAYISH GREENISH YELLOW,FANCY DEEP,GRAYISH,GREENISH,YELLOW,SI2,ROUND,NONE,,N,VG,EX,5.11,5.07,3.25,64.10%,GIA,2115571388,
BF-66         ,1,0.52,C71,FANCY DEEP BROWNISH GREENISH YELLOW,FANCY DEEP,BROWNISH,GREENISH,YELLOW,SI1,ROUND,NONE,,N,VG,VG,5.07,5.02,3.24,64.54%,GIA,2115587938,
BF-65         ,1,0.51,C71,FANCY LIGHT YELLOW-GREEN,FANCY LIGHT,,,YELLOW-GREEN,,ROUND,,,,,,5.07,5.04,3.18,63.10%,GIA,5131365468,
BF-64         ,1,0.50,C71,FANCY LIGHT PINK,FANCY LIGHT,,,PINK,,ROUND,,,,,,4.99,4.95,3.23,65.25%,GIA,5121714954,
BF-63         ,1,0.50,C71,FANCY GREENISH YELLOW-GRAY,FANCY,GREENISH,,YELLOW-GRAY,VS2,ROUND,STRONG,YELLOW,SY,VG,EX,5.01,4.97,3.12,62.78%,GIA,2115644209,
BF-62         ,1,0.50,C71,FANCY DEEP ORANGY YELLOW,FANCY DEEP,ORANGY,,YELLOW,,ROUND,,,,,,5.07,5.01,3.14,62.67%,GIA,2135310154,
BF-61         ,1,0.50,C71,FANCY DEEP BROWNISH YELLOW,FANCY DEEP,BROWNISH,,YELLOW,I1,ROUND,NONE,,N,G,G,4.99,4.94,3.17,64.17%,GIA,2156254931,
BF-60         ,1,0.50,C71,FANCY DEEP BROWNISH GREENISH YELLOW,FANCY DEEP,BROWNISH,GREENISH,YELLOW,SI2,ROUND,NONE,,N,VG,EX,5.06,5.03,3.19,63.42%,GIA,5156167114,
BF-59         ,1,0.47,C71,FANCY GRAYISH YELLOWISH GREEN,FANCY,GRAYISH,YELLOWISH,GREEN,VS1,ROUND,STRONG,YELLOW,SY,G,VG,4.98,4.93,3.02,61.26%,GIA,2146974844,
BF-58         ,1,0.45,C71,FANCY DEEP YELLOW,FANCY DEEP,,,YELLOW,SI1,ROUND,NONE,,N,G,VG,4.8,4.76,3.08,64.71%,GIA,5156254495,
BF-57         ,1,0.45,C71,FANCY BROWNISH YELLOW,FANCY,BROWNISH,,YELLOW,,ROUND,,,,,,4.79,4.74,3.07,64.77%,GIA,2146018088,
BF-54         ,1,1.03,,FANCY LIGHT GREENISH BLUE,FANCY LIGHT,GREENISH,,BLUE,I1,CUSHION,STRONG,BLUE,SB,EX,VG,5.64,5.06,3.83,75.69%,GIA,2166983377,
BF-50         ,1,0.40,C71,FANCY LIGHT GREEN-YELLOW,FANCY LIGHT,,,GREEN-YELLOW,,ROUND,,,,,,4.73,4.64,2.93,63.15%,GIA,1132365461,
BF-41         ,1,1.87,C245,FANCY BROWNISH GREENISH YELLOW,FANCY,BROWNISH,GREENISH,YELLOW,SI2,CUSHION,NONE,,N,G,VG,6.66,6.65,4.69,70.53%,GIA,5166379906,
BF-40         ,1,1.74,C245,FANCY BROWNISH GREENISH YELLOW,FANCY,BROWNISH,GREENISH,YELLOW,VS2,CUSHION,NONE,,N,G,G,6.73,6.26,4.68,74.76%,GIA,1169279469,
BF-39         ,1,1.61,C245,FANCY LIGHT BROWNISH GREENISH YELLOW,FANCY LIGHT,BROWNISH,GREENISH,YELLOW,VS2,CUSHION,NONE,,N,G,VG,6.42,6.11,4.56,74.63%,GIA,2156988814,
BF-38         ,1,1.59,C245,FANCY DEEP BROWNISH GREENISH YELLOW,FANCY DEEP,BROWNISH,GREENISH,YELLOW,SI1,PEAR,MEDIUM,BLUE,MB,G,G,8.34,5.73,4.54,79.23%,GIA,1149636018,
BF-37         ,1,1.32,C245,FANCY BROWNISH GREENISH YELLOW,FANCY,BROWNISH,GREENISH,YELLOW,VS2,CUSHION,NONE,,N,G,VG,6.06,5.63,4.23,75.13%,GIA,1169305116,
BF-36         ,1,1.26,C245,FANCY BROWNISH GREENISH YELLOW,FANCY,BROWNISH,GREENISH,YELLOW,SI1,CUSHION,NONE,,N,G,G,5.96,5.89,3.94,66.89%,GIA,2136998233,
BF-35         ,1,1.25,C245,FANCY BROWNISH GREENISH YELLOW,FANCY,BROWNISH,GREENISH,YELLOW,VS2,CUSHION,NONE,,N,G,VG,6.02,5.78,4,69.20%,GIA,1149671242,
BF-34         ,1,1.02,C245,FANCY DEEP GREENISH YELLOW,FANCY DEEP,GREENISH,,YELLOW,VS2,CUSHION,NONE,,N,VG,G,5.78,5.71,3.52,61.65%,GIA,2136161317,
BF-33         ,1,1.01,C245,FANCY BROWNISH GREENISH YELLOW,FANCY,BROWNISH,GREENISH,YELLOW,VS2,CUSHION,NONE,,N,G,G,5.71,5.19,3.86,74.37%,GIA,2166336274,
BF-23         ,1,1.41,,FANCY LIGHT PINK,FANCY LIGHT,,,PINK,VVS1,CUSHION,NONE,,N,EX,EX,6.24,6.05,4.13,68.26%,GIA,1169227776,
BF-14         ,1,2.02,,FANCY LIGHT YELLOW,FANCY LIGHT,,,YELLOW,SI1,PEAR,NONE,,N,G,G,8.91,6.66,4.42,66.37%,GIA,2166688238,
BF-12         ,1,1.22,C218,FANCY INTENSE YELLOW,FANCY INTENSE,,,YELLOW,IF,CUSHION,MEDIUM,BLUE,MB,EX,EX,5.99,5.75,3.93,68.35%,GIA,1169310444,
BF-11         ,1,1.20,,FANCY LIGHT YELLOW,FANCY LIGHT,,,YELLOW,VS2,CUSHION,FAINT,,F,VG,G,5.84,5.56,4.04,72.66%,GIA,1169606964,
BE-96         ,1,1.21,C218,FANCY GREEN-BLUE,FANCY,,,GREEN-BLUE,SI1,CUSHION,FAINT,,F,EX,VG,5.93,5.76,3.94,68.40%,GIA,1169242187,
BE-94         ,1,0.40,C71,VERY LIGHT PINK,VERY LIGHT,,,PINK,SI2,ROUND,NONE,,N,EX,EX,4.79,4.76,2.9,60.92%,GIA,2166051277,
BE-93         ,1,0.39,C174,FANCY BROWN-PINK,FANCY,,,BROWN-PINK,SI1,RADIANT,MEDIUM,BLUE,MB,EX,EX,4.05,4.02,2.7,67.16%,GIA,2166936088,
BE-91         ,1,1.21,C218,FANCY INTENSE GREEN-YELLOW,FANCY INTENSE,,,GREEN-YELLOW,VS1,CUSHION,FAINT,,F,EX,VG,5.93,5.73,3.94,68.76%,GIA,1169142914,
BE-76         ,1,0.50,C71,VERY LIGHT BLUE,VERY LIGHT,,,BLUE,VS1,ROUND,NONE,,N,VG,VG,4.97,4.95,3.18,64.24%,GIA,2101739902,
BE-75         ,1,1.01,C272,FANCY GRAY,FANCY,,,GRAY,I2,ROUND,NONE,,N,G,VG,6.35,6.33,4.05,63.98%,GIA,1169897454,
BE-72         ,1,1.63,C281,FANCY INTENSE GREEN-YELLOW,FANCY INTENSE,,,GREEN-YELLOW,SI2,CUSHION,STRONG,GREEN,SG,VG,G,6.89,5.96,4.12,69.13%,GIA,1169888875,
BE-67         ,1,5.01,,FANCY GRAYISH GREENISH YELLOW,FANCY,GRAYISH,GREENISH,YELLOW,VS2,CUSHION,STRONG,BLUE,SB,EX,G,9.71,9.1,6.29,69.12%,GIA,2146624354,
BE-58         ,1,4.02,P257,FANCY LIGHT BLUISH GREEN,FANCY LIGHT,BLUISH,,GREEN,VVS2,CUSHION,FAINT,,F,VG,VG,9.01,8.66,5.78,66.74%,GIA,2155928493,
BE-55         ,1,1.03,C281,FANCY LIGHT PURPLISH PINK,FANCY LIGHT,PURPLISH,,PINK,I1,OVAL,NONE,,N,VG,G,7.7,5.39,3.35,62.15%,GIA,1159094578,
BE-54         ,1,1.48,,FANCY LIGHT YELLOW,FANCY LIGHT,,,YELLOW,VS1,PEAR,NONE,,N,G,VG,8.19,6.38,3.9,61.13%,GIA,2166455555,
BE-53         ,1,4.00,,FANCY YELLOW,FANCY,,,YELLOW,VS1,CUSHION,NONE,,N,G,G,9.42,8.24,5.76,69.90%,GIA,2166454833,
BE-48         ,1,0.60,C71,FANCY LIGHT YELLOW-GREEN,FANCY LIGHT,,,YELLOW-GREEN,VS2,ROUND,VERY STRONG,BLUE,VSTB,VG,VG,5.45,5.43,3.28,60.41%,GIA,5146976598,
BE-47         ,1,0.52,C71,FANCY LIGHT GREEN-YELLOW,FANCY LIGHT,,,GREEN-YELLOW,VS2,ROUND,STRONG,BLUE,SB,EX,EX,5.17,5.16,3.2,62.02%,GIA,5136563624,
BE-46         ,1,0.39,C174,FANCY YELLOWISH GREEN,FANCY,YELLOWISH,,GREEN,SI1,RADIANT,NONE,,N,VG,VG,4.26,4.23,2.59,61.23%,GIA,1159160419,
BE-45         ,1,5.05,,FANCY GREENISH YELLOW,FANCY,GREENISH,,YELLOW,SI2,CUSHION,NONE,,N,G,G,10.6,8.65,6,69.36%,GIA,2156989884,
BE-44         ,1,4.03,,FANCY GRAYISH GREENISH YELLOW,FANCY,GRAYISH,GREENISH,YELLOW,VS2,CUSHION,NONE,,N,G,VG,8.86,8.37,5.88,70.25%,GIA,1169862355,
BE-43         ,1,3.01,,FANCY GREEN-YELLOW,FANCY,,,GREEN-YELLOW,VS1,CUSHION,NONE,,N,G,VG,8.33,7.37,5.25,71.23%,GIA,1159354568,
BE-42         ,1,1.85,,FANCY LIGHT YELLOW-GREEN,FANCY LIGHT,,,YELLOW-GREEN,SI1,RADIANT,NONE,,N,VG,VG,6.94,6.91,4.44,64.25%,GIA,5136493295,
BE-40         ,1,0.43,C174,FANCY LIGHT YELLOW-GREEN,FANCY LIGHT,,,YELLOW-GREEN,VVS1,RADIANT,STRONG,BLUE,SB,VG,VG,4.22,4.2,2.77,65.95%,GIA,2166889000,
BE-38         ,1,3.02,,FANCY LIGHT YELLOW,FANCY LIGHT,,,YELLOW,SI2,OVAL,NONE,,N,VG,G,10.03,7.26,5.07,69.83%,GIA,1179068049,
BE-28         ,1,1.33,,LIGHT BLUE,LIGHT,,,BLUE,VS1,RADIANT,FAINT,,F,VG,VG,6.22,6.2,3.94,63.55%,GIA,2135750496,
BE-27         ,1,0.62,C174,FANCY LIGHT YELLOW-GREEN,FANCY LIGHT,,,YELLOW-GREEN,VS1,RADIANT,STRONG,GREEN,SG,VG,VG,4.85,4.83,3.08,63.77%,GIA,2166827968,
BE-26         ,1,4.07,P257,FANCY GREEN-BLUE,FANCY,,,GREEN-BLUE,VS1,CUSHION,STRONG,BLUE,SB,G,VG,8.69,8.55,5.9,69.01%,GIA,6165067609,
BE-17         ,1,0.60,C174,VERY LIGHT PINK,VERY LIGHT,,,PINK,VS1,RADIANT,NONE,,N,VG,VG,4.69,4.68,3.12,66.67%,GIA,5146746059,
BE-16         ,1,0.53,C174,FAINT PINK,FAINT,,,PINK,SI1,RADIANT,NONE,,N,VG,VG,4.6,4.58,2.88,62.88%,GIA,2156330688,
